#job id,arrival time (sec),topology,shape,size,duration (sec)
451,368880.0,CLOS,8,8,180.0
452,369120.0,CLOS,8,8,180.0
453,369120.0,CLOS,8,8,180.0
454,369180.0,CLOS,8,8,0.0
455,369240.0,CLOS,8,8,180.0
456,369480.0,CLOS,8,8,180.0
457,369480.0,CLOS,8,8,180.0
458,369540.0,CLOS,8,8,60.0
459,369900.0,CLOS,8,8,0.0
460,369960.0,CLOS,8,8,180.0
461,370020.0,CLOS,32,32,180.0
462,370080.0,CLOS,48,48,660.0
463,370260.0,CLOS,8,8,120.0
464,370500.0,CLOS,8,8,0.0
465,370560.0,CLOS,32,32,480.0
466,370800.0,CLOS,48,48,65160.0
467,370800.0,CLOS,8,8,240.0
468,371160.0,CLOS,8,8,180.0
469,371280.0,CLOS,8,8,180.0
470,371340.0,CLOS,400,400,3060.0
471,371460.0,CLOS,1,1,23580.0
472,371520.0,CLOS,8,8,3960.0
473,372900.0,CLOS,8,8,0.0
474,372900.0,CLOS,32,32,480.0
475,372960.0,CLOS,8,8,180.0
476,373080.0,CLOS,8,8,420.0
477,373080.0,CLOS,1,1,1140.0
478,373320.0,CLOS,8,8,180.0
479,373560.0,CLOS,32,32,8700.0
480,373620.0,CLOS,8,8,1020.0
481,374400.0,CLOS,1,1,13140.0
482,374640.0,CLOS,256,256,1020.0
483,374640.0,CLOS,8,8,900.0
484,374700.0,CLOS,8,8,67140.0
485,375840.0,CLOS,400,400,720.0
486,376080.0,CLOS,32,32,480.0
487,376140.0,CLOS,8,8,180.0
488,376380.0,CLOS,72,72,466260.0
489,376440.0,CLOS,1,1,0.0
490,376620.0,CLOS,1,1,3480.0
491,376740.0,CLOS,32,32,60.0
492,376800.0,CLOS,400,400,840.0
493,376920.0,CLOS,32,32,480.0
494,376920.0,CLOS,8,8,46740.0
495,377340.0,CLOS,8,8,240.0
496,377400.0,CLOS,8,8,60.0
497,377760.0,CLOS,8,8,120.0
498,377760.0,CLOS,400,400,1080.0
499,377820.0,CLOS,32,32,60.0
500,377880.0,CLOS,32,32,60.0
501,377880.0,CLOS,32,32,480.0
502,378300.0,CLOS,32,32,57300.0
503,378480.0,CLOS,8,8,540.0
504,379200.0,CLOS,8,8,120.0
505,379440.0,CLOS,32,32,2760.0
506,380100.0,CLOS,1,1,57420.0
507,380700.0,CLOS,8,8,60.0
508,381420.0,CLOS,8,8,120.0
509,382320.0,CLOS,8,8,60.0
510,383400.0,CLOS,24,24,9300.0
511,383940.0,CLOS,8,8,60.0
512,384120.0,CLOS,4,4,120.0
513,385080.0,CLOS,8,8,120.0
514,385140.0,CLOS,32,32,4560.0
515,385440.0,CLOS,400,400,1320.0
516,385500.0,CLOS,1,1,180.0
517,385860.0,CLOS,6,6,120.0
518,385980.0,CLOS,8,8,240.0
519,386460.0,CLOS,32,32,3180.0
520,386640.0,CLOS,88,88,300.0
521,387120.0,CLOS,1,1,2700.0
522,387540.0,CLOS,88,88,360.0
523,388560.0,CLOS,80,80,28380.0
524,389820.0,CLOS,1,1,53160.0
525,390240.0,CLOS,32,32,3660.0
526,390300.0,CLOS,400,400,1320.0
527,392640.0,CLOS,64,64,240.0
528,392820.0,CLOS,8,8,49140.0
529,392940.0,CLOS,64,64,49200.0
530,393600.0,CLOS,24,24,47820.0
531,393960.0,CLOS,8,8,0.0
532,394620.0,CLOS,8,8,128640.0
533,395820.0,CLOS,1,1,600.0
534,396480.0,CLOS,1,1,1320.0
535,397920.0,CLOS,464,464,37440.0
536,398820.0,CLOS,1,1,1020.0
537,400320.0,CLOS,32,32,3720.0
538,423720.0,CLOS,16,16,180.0
539,424440.0,CLOS,16,16,180.0
540,424800.0,CLOS,16,16,60.0
541,425220.0,CLOS,16,16,60.0
542,425520.0,CLOS,16,16,60.0
543,426360.0,CLOS,16,16,0.0
544,426480.0,CLOS,16,16,60.0
545,426960.0,CLOS,16,16,0.0
546,427080.0,CLOS,32,32,4440.0
