#job id,arrival time (sec),topology,shape,size,duration (sec)
317,10265011,CLOS,1.0,1.0,9271.0
318,10265140,CLOS,1.0,1.0,1210.0
319,10265558,CLOS,1.0,1.0,16317.999999999998
320,10266148,CLOS,0.23,0.23,98.0
321,10266884,CLOS,0.23,0.23,91.0
322,10266902,CLOS,1.0,1.0,173.0
323,10267235,CLOS,1.0,1.0,6906.0
324,10267517,CLOS,0.47,0.47,2479.0
325,10267882,CLOS,1.0,1.0,6275.0
326,10268198,CLOS,1.0,1.0,23167.0
327,10269999,CLOS,0.23,0.23,79.0
328,10272218,CLOS,0.23,0.23,40.0
329,10272751,CLOS,0.23,0.23,150.0
330,10273015,CLOS,0.23,0.23,55.0
331,10273175,CLOS,0.23,0.23,120.0
332,10274502,CLOS,1.0,1.0,1230.0
333,10276050,CLOS,1.0,1.0,282.0
334,10277009,CLOS,0.23,0.23,204.0
335,10278278,CLOS,1.0,1.0,201.0
336,10279624,CLOS,1.0,1.0,4903.0
337,10280815,CLOS,1.0,1.0,862.0
338,10281304,CLOS,1.0,1.0,954.0
339,10281564,CLOS,1.0,1.0,2001.0
340,10281756,CLOS,1.0,1.0,5396.0
341,10281935,CLOS,0.46,0.46,1017.9999999999999
342,10282240,CLOS,0.47,0.47,85.0
343,10282361,CLOS,1.0,1.0,870.0
344,10282412,CLOS,0.22,0.22,4278.0
345,10282878,CLOS,1.0,1.0,599.0
346,10283250,CLOS,1.0,1.0,346.0
347,10283282,CLOS,1.0,1.0,2887.0
348,10283554,CLOS,1.0,1.0,2903.0
349,10283834,CLOS,1.0,1.0,890.0
350,10284572,CLOS,1.0,1.0,3031.0
351,10284612,CLOS,1.0,1.0,3570.0
352,10285062,CLOS,1.0,1.0,2353.0
353,10285584,CLOS,1.0,1.0,243803.0
354,10285684,CLOS,0.81,0.81,551.0
355,10286148,CLOS,1.0,1.0,1558.0
356,10286237,CLOS,0.47,0.47,705.0
357,10287566,CLOS,1.0,1.0,4727.0
358,10287821,CLOS,1.0,1.0,4760.0
359,10287906,CLOS,1.0,1.0,873.0
360,10287971,CLOS,0.47,0.47,354.0
361,10288025,CLOS,1.0,1.0,1674.0
362,10288251,CLOS,1.0,1.0,419.0
363,10290217,CLOS,1.0,1.0,2612674.0
364,10290217,CLOS,1.0,1.0,2612709.0
365,10290268,CLOS,1.0,1.0,720.0
366,10290997,CLOS,1.0,1.0,951112.0
367,10291241,CLOS,0.47,0.47,86.0
368,10291568,CLOS,0.55,0.55,78199.0
369,10291860,CLOS,1.0,1.0,6325.0
370,10292589,CLOS,1.0,1.0,2342233.0
371,10292824,CLOS,1.0,1.0,4035.0
372,10293013,CLOS,1.0,1.0,964.0
373,10293874,CLOS,1.0,1.0,506.0
374,10294021,CLOS,1.0,1.0,4101.0
375,10294984,CLOS,1.0,1.0,3271.0
376,10296005,CLOS,1.0,1.0,702.0
377,10296182,CLOS,1.0,1.0,2004.9999999999998
378,10297478,CLOS,1.0,1.0,857.0
379,10297562,CLOS,1.0,1.0,268.0
380,10297584,CLOS,1.0,1.0,806.0
381,10297734,CLOS,1.0,1.0,606.0
382,10298377,CLOS,0.23,0.23,895.0
383,10298794,CLOS,1.0,1.0,9061.0
384,10298876,CLOS,1.0,1.0,4002.0
385,10299155,CLOS,0.46,0.46,537.0
386,10299470,CLOS,0.65,0.65,3655.0
387,10299478,CLOS,0.65,0.65,912.0
388,10299568,CLOS,1.0,1.0,55.0
389,10299841,CLOS,0.23,0.23,1180.0
390,10300246,CLOS,1.0,1.0,1928.0
391,10303910,CLOS,1.0,1.0,549.0
392,10303910,CLOS,1.0,1.0,503.0
393,10305589,CLOS,0.47,0.47,37965.0
394,10306030,CLOS,0.47,0.47,1517.0
395,10306710,CLOS,1.0,1.0,1863.0
396,10306993,CLOS,1.0,1.0,1520.0
397,10307276,CLOS,1.0,1.0,1202.0
398,10308033,CLOS,1.0,1.0,20221.0
399,10311803,CLOS,0.22,0.22,363.0
400,10315182,CLOS,1.0,1.0,3180.0
401,10315953,CLOS,1.0,1.0,566821.0
402,10316091,CLOS,0.05,0.05,23497.0
403,10317757,CLOS,1.0,1.0,3665.0
404,10319606,CLOS,0.11,0.11,2510.0
405,10321771,CLOS,0.32,0.32,5410.0
406,10321913,CLOS,0.22,0.22,12160.0
407,10323648,CLOS,1.0,1.0,713.0
408,10325258,CLOS,1.0,1.0,1503.0
409,10325800,CLOS,1.0,1.0,3387.0
